H,S
6.5,161.9,1
94.3,96.7,6
7.8,166.1,3
13.5,134.6,10
8.3,170.7
101.6,93.3
7.8,172.1
15.0,142.3
7.2,168.9
108.6,116.1
9.0,170.7
15.5,140.2
5.5,193.88
97.6,76.5
7.2,167.4
12.6,119.1
7.0,158.9
94.7,116.1
6.6,162.1
14.6,115.0
20.8,118.4
6.6,144.0
94.8,81.4
8.6,147.6
5.9,171.0
93.4,117.4
7.6,167.5
14.8,122.8
7.5,144.5
121.6,82.4
9.2,151.9
13.9,108.6
20.0,109.4
3.8,153.2
121.2,103.0
6.2,156.2
6.9,167.7
113.7,138.8
8.9,171.7
13.0,128.3
6.0,171.75
99.4,77.2
6.6,147.0
12.0,105.6
5.75,188.0
95.9,77.5
7.6,158.7
11.8,107.1
2.88,216.0
95.3,122.3
6.9,196.4
12.6,130.5
3.12,202.12
117.3,148.5
5.2,195.5
11.7,136.7
4.1,212.9
117.3,149.8
5.6,218.4
14.1,155.4
5.6,162.0
92.0,124.3
7.3,171.8
13.8,118.2
3.5,191.38
124.8,98.2
6.9,170.1
14.1,116.6
5.25,171.0
96.8,81.0
7.8,151.4
12.6,101.2
19.1,123.3
4.4,167.8
122.3,129.6
7.4,171.9
5.4,177.0
114.3,144.3
7.0,187.1
14.7,124.7
22.2,175.2,4
116.7,71.1,7
6.8,167.2,3
15.1,64.1,10
21.4,185.4
95.1,65.8
6.9,185.3
15.8,81.0
19.7,139.2
126.5,64.1
6.0,168.2
13.9,67.7
20.6,182.5
9.0,113.4
9.6,205.5
18.7,145.9
25.5,182.7
20.6,197.8
11.9,132.7
10.7,214.6
18.6,165.3
11.0,194.7
79.2,131.9
20.4,197.7
21.0,236.0
46.6,140.2
10.2,202.0
19.0,158.0
21.3,228.2
44.1,131.7
8.9,228.7
18.5,148.9
20.7,232.8
41.8,155.1
7.5,228.7
19.1,164.0
20.6,195.6
74.2,121.2
9.4,205.2
18.0,131.2
20.8,202.0
75.6,85.0
9.4,211.4
17.6,119.6
27.1,154.2
21.2,170.9
45.7,103.9
9.9,218.1
27.4,168.2
20.2,177.6
75.2,113.2
9.2,223.6
20.4,206.4
73.6,120.4
8.6,215.8
18.8,129.6
20.6,182.8
60.6,96.3
11.3,192.0
18.3,130.4
19.9,171.7
44.2,110.5
9.2,219.9
17.4,130.7
26.2,162.8
19.7,163.9
76.6,96.5
8.4,212.9
20.8,169.9
10.8,111.5
11.0,187.1
17.3,126.7
26.0,165.0
21.2,217.0
108.2,101.2
9.4,199.2
21.0,223.4
73.4,120.9
7.7,220.2
18.2,139.2
21.4,210.4
44.2,93.4
9.0,226.4
18.4,131.2
11.2,210.2,1
19.2,130.0,8
13.2,197.0,3
17.8,178.8,10
6.2,105.0
144.6,27.1
7.7,129.5
9.0,67.1
175.12,97.62
138.2,26.7
6.9,106.8
8.6,61.3
4.3,117.6
126.2,37.9
9.1,140.1
12.9,89.7
56.8,83.7
142.5,28.5
6.9,107.9
9.4,67.7
25.2,95.9
8.4,123.1
10.7,149.6
17.0,134.3
6.12,132.75
15.7,43.4
10.6,138.1
15.0,94.8
25.0,90.0
8.2,128.8
12.8,146.6
15.6,128.4
26.4,98.0
6.5,123.6
11.5,140.8
15.0,87.4
5.0,189.6
31.2,44.0
10.0,189.2
16.6,127.0
6.0,179.6
23.7,47.3
11.5,193.8
16.8,153.7
8.6,133.2
31.6,31.0
11.4,159.8
17.2,143.4
8.0,145.8
12.7,65.8
11.3,146.2
13.9,107.2
6.2,165.6
21.6,50.8
11.2,180.0
14.2,138.4
10.0,129.6
12.8,62.0
11.3,160.5
16.2,135.6
5.5,161.38
13.7,58.9
11.0,157.5
12.8,116.3
4.62,186.12
15.3,70.5
10.1,186.7
13.8,131.7
5.0,184.0
16.6,60.2
11.6,177.6
15.0,144.6
5.12,160.0
12.8,61.3
10.7,161.3
13.3,128.6
5.2,219.9
19.1,68.1
8.9,221.9
14.3,158.6
2.0,160.0
107.6,28.4
8.2,164.0
12.0,113.2
14.3,94.4,9
2.4,219.5,1
12.1,188.5,0
12.6,131.8,10
14.4,53.0
3.6,210.6
28.6,148.4
11.8,94.8
13.4,91.0
100.6,227.8
36.0,230.2
16.4,58.6
10.4,79.0
11.6,193.0
140.6,173.4
17.4,57.6
10.7,70.8
52.0,132.5
89.5,167.6
20.9,57.9
10.2,70.3
11.1,144.7
3.7,154.8
17.6,60.5
9.8,84.0
77.4,189.6
136.8,213.8
17.0,58.6
14.4,61.2
71.4,215.6
22.7,145.7
14.3,96.5
15.6,53.4
106.0,207.6
59.4,184.4
12.0,84.6
10.8,70.8
58.6,168.6
2.4,183.2
18.6,58.6
9.4,66.0
34.8,146.4
4.8,193.8
20.0,60.6
13.8,55.8
71.0,222.6
56.4,191.3
12.7,94.9
10.8,80.0
82.2,159.0
5.8,192.8
13.6,55.6
10.0,85.6
74.4,182.8
39.6,192.4
21.4,62.4
10.8,65.3
18.9,132.0
6.3,133.8
21.3,53.4
12.4,56.0
106.4,189.6
79.4,171.4
11.6,89.4
11.3,70.6
99.1,173.3
106.9,164.5
20.4,55.8
14.3,59.0
37.0,196.4
85.0,133.2
8.7,83.9
7.6,65.6
17.3,182.1
75.1,160.1
20.5,52.4
14.6,57.8
37.2,210.0
123.0,162.2
10.0,80.6
37.2,208.4,2
107.0,198.2,2
6.6,229.0,1
20.0,128.8,10
106.8,226.4
173.8,216.2
39.2,211.8
16.6,121.8
106.8,219.6
139.6,207.4
3.0,242.6
16.2,123.2
107.2,214.4
140.2,202.4
6.4,183.6
15.4,116.2
107.1,196.4
158.5,183.0
5.1,170.2
13.9,105.0
122.8,233.5
172.7,227.4
72.0,229.7
18.4,126.8
107.0,185.6
173.8,194.0
4.8,208.2
18.0,115.8
107.9,183.8
139.8,175.6
4.3,186.0
14.7,101.6
89.7,184.3
175.5,175.7
4.4,186.7
14.3,100.2
90.1,201.1
140.3,175.2
4.1,179.9
16.1,105.3
105.9,220.0
155.3,227.0
3.8,221.1
17.0,132.9
74.7,168.7
125.0,166.7
6.7,187.4
16.1,99.9
109.0,150.4
106.8,145.4
5.6,160.8
14.4,97.6
76.2,152.8
106.8,151.7
6.4,171.6
14.8,96.9
107.4,200.4
174.2,193.4
6.6,190.6
14.8,108.4
56.6,186.5
173.3,192.0
6.1,183.9
18.0,109.5
77.0,139.0
142.0,133.0
8.2,160.4
17.0,94.6
73.1,195.3
141.2,206.6
3.0,210.7
16.4,120.6
142.0,205.8
174.2,194.4
5.6,182.2
15.8,116.8
73.8,158.0
174.4,159.8
6.0,175.6
15.6,105.0
15.0,67.4,5
63.8,212.1,0
26.4,189.3,11
15.9,96.6,10
11.6,102.1
47.2,202.0
54.8,220.0
12.7,123.2
43.62,131.88
22.2,209.7
11.2,97.5
11.8,116.6
13.2,100.8
57.4,227.4
51.8,235.8
12.4,110.2
11.2,90.0
50.8,183.6
39.0,217.0
13.0,109.4
17.0,92.8
43.6,157.2
3.6,217.6
11.8,111.4
11.6,93.6
52.2,201.0
32.8,220.2
13.6,119.8
10.8,80.0
48.0,130.4
4.4,216.4
13.0,110.2
16.8,108.6
45.4,188.6
37.4,224.6
13.6,133.6
21.4,115.4
38.2,154.2
5.0,219.8
13.0,119.4
13.6,108.9
46.6,200.6
37.3,223.7
13.9,124.9
13.6,111.8
46.2,201.5
8.7,194.7
14.0,124.2
14.4,101.6
41.6,186.0
8.4,218.6
14.6,136.6
13.2,91.9
41.2,168.2
18.0,218.6
13.0,124.3
13.8,111.6
46.0,192.6
10.4,225.0
13.0,104.6
15.3,113.5
46.1,184.7
45.0,221.7
13.2,124.6
15.0,116.0
44.4,199.4
33.6,231.8
14.6,135.2
14.9,117.7
46.8,197.9
19.8,224.3
14.5,138.9
13.9,108.8
53.7,220.6
9.3,211.6
13.2,103.8
13.6,101.4
42.2,188.4
9.4,192.0
13.8,118.4
12.6,123.4
7.0,216.7
3.8,202.3
18.7,132.4
12.5,144.3
6.1,214.8
5.5,182.7
18.5,124.4
11.3,126.0
6.7,192.7
4.0,175.8
21.3,128.1
12.5,133.4
37.6,223.4
4.7,180.3
16.5,123.8
12.2,117.9
4.8,181.6
6.4,167.0
20.9,134.6
12.4,138.6
4.6,214.2
4.2,195.8
18.0,124.8
12.7,122.9
8.1,205.4
6.0,185.1
19.7,138.9
12.9,117.2
7.1,174.9
7.7,162.7
22.1,132.7
11.9,133.1
7.1,215.3
5.2,185.0
19.4,133.2
12.5,134.0
3.3,225.1
3.7,196.8
18.4,132.3
12.4,130.6
7.0,205.8
6.3,172.9
22.1,138.9
13.2,120.0
6.0,181.6
6.6,166.8
21.4,125.8
12.8,131.0
21.6,216.5
5.4,185.0
21.6,145.5
12.4,121.8
6.4,181.6
6.6,184.0
20.6,136.8
12.1,149.4
7.8,225.7
5.5,191.0
18.1,138.0
14.6,120.8
12.2,181.4
8.4,156.2
19.4,120.2
12.0,119.6
6.2,182.2
6.0,164.8
19.8,123.6
11.3,122.6
6.7,210.1
6.2,182.9
21.7,134.2
